utterance,intent
What is the boarding time before departure?,Flights Info
"Hey, Are sharp objects allowed in checked luggage?",Prohibited Items Faq
Is my trip on time?,Flight Status
How do i buy insurance for my ticket? thank you,Insurance
Are there rules for traveling while pregnant?,Medical Policy
"Hi, Any special fares or offers available now?",Discounts
There is a tear in my suitcase after the ticket.,Damaged Bag
Are there seats available on ticket AI912?,Seat Availability
Is assistance available for disabled passengers?,Medical Policy
I received a damaged baggage at JFK.,Damaged Bag
There is a tear in my suitcase after the flight. kindly,Damaged Bag
DO I GET A REFUND IF I CALL IT OFF WITHIN 24 HOURS? HTANK YOU,Cancellation Policy
Is there a window seat left for my booking?,Seat Availability
Check price for trip BA167.,Fare Check
What is the pet travel policy?,Pet Travel
How does the cancellation fee work?,Cancellation Policy
I received a damaged bag at DEL. thanks,Damaged Bag
"Good morning, Tell me about the call offlation rules for tickets. please",Cancellation Policy
Is there any extra charge for sports gear?,Sports Music Gear
How do I check seat availability?,Seat Availability
How do I buy insurance for my ticket?,Insurance
What does the travel insurance cover?,Insurance
"Hello, I want to cancel my flight to Los Angeles.",Cancel Trip
I received a damaged bag at SFO. kindly,Damaged Bag
What is the pet travel policy? thank you,Pet Travel
Can I carry a power bank in my bag?,Prohibited Items Faq
"Hello, How do I cancel my trip scheduled on 2025-10-26?",Cancel Trip
IS A GUITAR ALLOWED AS CARRY-ON?,Carry On Luggage Faq
I received a damaged bag at BOM.,Damaged Bag
"Hey, Has flight SQ595 landed?",Flight Status
What items are prohibited on flights? thanks,Prohibited Items Faq
Do you have promo codes for flights?,Discounts
What's the status of ticket EK406?,Flight Status
Is there a window seat left for my booking? thanks,Seat Availability
Is there any extra charge for sports gear?,Sports Music Gear
I can't find my checked-in luggage. thanks,Missing Bag
"Hey, how do i buy insurance for my ticket?",Insurance
How many kilograms can I check in? kindly,Check In Luggage Faq
I had a terrible experience and want to complain.,Complaints
I want to call off mticketht to Londcn.,Cancel Trip
Is assistance available for disabled passengers?,Medical Policy
I want to make a complaint about my last flight. thanks,Complaints
Do pets travel in cargo or cabin?,Pet Travel
"Good morning, Move my flticketo an earlier time please.",Change Flight
What is the carry-on baggage allowance? thank you,Carry On Luggage Faq
Tell me about the cancellation rules for tickets.,Cancellation Policy
What is the fare for a flight from Los Angeles to New York on 2025-12-11?,Fare Check
I need to cancel my reservation for Los Angeles.,Cancel Trip
"Good morning, I am unhappy with the customer service I received. thank you",Complaints
"Hey, Are there rules for traveling while pregnant?",Medical Policy
"Hello, Can I reserve a seat on the flight? thanks",Seat Availability
How do i report a lost luggage? thanks,Missing Bag
"Hi, I want to report bad service on booking SQ902.",Complaints
"Hello, Do you have promo codes for tickets?",Discounts
Are Wi-Fi services available on board? thanks,Flights Info
Can I carry a power bank in my bag? please,Prohibited Items Faq
I need to modify my flight date to 2025-11-03.,Change Flight
Are there rules for traveling while pregnant?,Medical Policy
DO I GET A REFUND IF I CANCEL WITHIN 24 HOURS?,Cancellation Policy
What documents are required for medical travel?,Medical Policy
DO I GET A REFUND IF I CANCEL WITHIN 24 HOURS? KINDLY,Cancellation Policy
WHAT'S THE COST OF TRAVEL INSURANCE?,Insurance
Is overweiht baggagegage charged and how much?,Check In Luggage Faq
"Good evening, Is a lighter permitted in checked luggagegage?",Prohibited Items Faq
How can I apply a coupon to my booking?,Discounts
"Good morning, What can I bring in my carry-on?",Carry On Luggage Faq
HOW DOES THE CANCELLATION FEE WORK?,Cancellation Policy
How do I report a lest bag?,Missing Bag
What's the timing of booking UA196? thanks,Flight Status
Any special fares or offers available now?,Discounts
Change my flight to an earlier time please. please,Change Flight
Is overweight baggage charged and how much?,Check In Luggage Faq
Can you help me reschedule flight BA891?,Change Flight
"Hi, How much is the ticket to London next week?",Fare Check
Can I bring a violin as carry-on?,Sports Music Gear
Is my flight on time?,Flight Status
"Hey, Do I get a refund if I cancel within 24 hours?",Cancellation Policy
"Hey, Are sharp objects allowed in checked luggage?",Prohibited Items Faq
What's the current price for a one-way ticket to Delhi?,Fare Check
Can I bring a vape on board?,Prohibited Items Faq
How do I buy insurance for my ticket?,Insurance
"Hello, Can I carry a backpack and a laptop?",Carry On Luggage Faq
Do I get a refund if I cancel within 24 hours?,Cancellation Policy
How can I apply a coupon to my booking?,Discounts
Is there a window seat left for my booking?,Seat Availability
"Hello, How do I cancel my trip scheduled on 2025-12-15?",Cancel Trip
What is the boarding time before departure?,Flights Info
How do i check seat availability?,Seat Availability
Is there a penalty if i call it off my booking?,Cancellation Policy
"Hi, what is the boarding time before departure?",Flights Info
How do I claim for a damaged luggage?,Damaged Bag
Is overweight baggage charged and how much?,Check In Luggage Faq
How do i cancel my trip scheduled on 2025-12-04?,Cancel Trip
I am unhappy with the customer service I received.,Complaints
CAN YOU HELP ME RESCHEDULE FLIGHT SQ813?,Change Flight
What is your call offlation policy?,Cancellation Policy
"Hey, what items are prohibited on tickets?",Prohibited Items Faq
"Good evening, What items are prohibited on flights?",Prohibited Items Faq
WHERE IS MY SUITCASE? IT DIDN'T COME OUT ON CAROUSEL. PLEASE,Missing Bag
Do pets travel in cargo or cabin?,Pet Travel
How many kilograms can I check in?,Check In Luggage Faq
Can I bring a vape on board?,Prohibited Items Faq
HOW CAN I APPLY A COUPON TO MY BOOKING? PLEASE,Discounts
What documents are required for medical travel? kindly,Medical Policy
"Hi, I am unhappy with the customer service I received.",Complaints
Who can I contact to file a complaint?,Complaints
What's the cost of travel insurance?,Insurance
I want to report bad service on flight dl714. thanks,Complaints
"Good morning, What is the carry-on baggage allowance?",Carry On Luggage Faq
HOW MANY CARRY-ON BAGGAGES PERMITTEDOWED?,Carry On Luggage Faq
"Hi, Can I bring my dog on the flight?",Pet Travel
"Hi, Can I carry a power bank in my bag?",Prohibited Items Faq
How do I cancel my trip scheduled on 2025-11-11?,Cancel Trip
I want to make a complaint about my last flight.,Complaints
What's the policy for carrying sports equipment?,Sports Music Gear
Is a guitar allowed as carry-on? thank you,Carry On Luggage Faq
ANY SPECIAL FARES OR OFFERS AVAILABLE NOW?,Discounts
Tell me about meals on this flight.,Flights Info
How do i claim for a damaged baggage? thank you,Damaged Bag
How do I buy insurance for my ticket? please,Insurance
I want to report bad service on flight LH794.,Complaints
CAN YOU CANCEL MY TICKET AND REFUND ME?,Cancel Trip
"Good evening, Ave there seats available on trip UA856?",Seat Availability
Can I carry a power bank in my bag? thanks,Prohibited Items Faq
CAN I BRING A VAPE ON BOARD? THANK YOU,Prohibited Items Faq
"Hi, There is a tear in my suitcase after the flight.",Damaged Bag
What is the fare for a trip from Dubai to Mumbai on 2025-11-06? please,Fare Check
Do you offer travel insurance?,Insurance
Please call it off my bookingbookinglight EK584. thanks,Cancel Trip
Can I carry a backpack and a laptop?,Carry On Luggage Faq
Can I check two bags?,Check In Luggage Faq
What items are prohibited on flights?,Prohibited Items Faq
WHAT IS THE MEDICAL POLICY FOR PASSENGERS WITH SPECIAL NEEDS?,Medical Policy
"Good morning, Can I bring a violin as carry-on?",Sports Music Gear
IS THERE A WINDOW SEAT LEFT FOR MY BOOKING?,Seat Availability
Is a guitar permitted as carry-on?,Carry On Luggage Faq
Are Wi-Fi services available on board?,Flights Info
Do you offer travel insurance? thanks,Insurance
How many kilograms can I check in?,Check In Luggage Faq
Tell me about meals no this flight.,Flights Info
"Hi, Is medical insurance included with the booking?",Insurance
What does the travel insurance cover?,Insurance
Check ticket timing for UA662.,Flight Status
What documents are required for pet travel? kindly,Pet Travel
"Hey, Please cancel my booking for flight UA357.",Cancel Trip
Can I carry a backpack and a laptop?,Carry On Luggage Faq
"Good morning, Who can I contact to file a complaint?",Complaints
What are the check-in baggage rules?,Check In Luggage Faq
Can I travel with medical oxygen?,Medical Policy
IS MY SURFBOARD PERMITTED ON THE BOOKING?,Sports Music Gear
"Good morning, How can I change my booked flight to Paris?",Change Flight
Is there a penalty if I cancel my booking? thanks,Cancellation Policy
"Good morning, What's the policy for carrying sports equipment? thanks",Sports Music Gear
Is medical insurance included with the booking?,Insurance
Tell me about meals on this flight.,Flights Info
"Good morning, Rescheduletripight to an earlier time please.",Change Flight
I AM UNHAPPY WITH THE CUSTOMER SERVICE I RECEIVED.,Complaints
What is the pet travel policy? please,Pet Travel
Can I bring a violin as carry-on?,Sports Music Gear
Where is my suitcase? It didn't come out on carousel.,Missing Bag
Where is my suitcase? it didn't come out on carousel. thanks,Missing Bag
Can I travel with medical oxygen? please,Medical Policy
"Good evening, Lowest fare from Tokyo to London.",Fare Check
I received a damaged bag at SIN.,Damaged Bag
I want to terminate ticketght to London.,Cancel Trip
o you have promo codes for flights? please,Discounts
What can I bring in my carry-on?,Carry On Luggage Faq
Can I bring my dog on the trip?,Pet Travel
What can I bring in my carry-on?,Carry On Luggage Faq
Please cancel my booking for trip EK261.,Cancel Trip
How much is the ticket to Mumbai next week?,Fare Check
"Hi, How do I call it off my trip scheduled on 2025-12-07?",Cancel Trip
"HEY, CHANGE M BOOKING TO AN EARLIER TIME PLEASE.",Change Flight
"Good evening, Can I bring a vape on board? please",Prohibited Items Faq
HOW MUCH IS THE BICKET TO LOS ANGELES NEXT WEEK?,Fare Check
"Hey, Where is my suitcase? It didn't come out on carousel.",Missing Bag
"HEY, HOW DO I REPORT A LOST BAGF",Missing Bag
How much is the ticket to New York next week?,Fare Check
HOW MANY KILOGRAMS CAN I CHECK IN?,Check In Luggage Faq
Where is my suitcase? It didn't come out on carousel.,Missing Bag
Are there rules for traveling while pregnant?,Medical Policy
"Good morning, Change my flight to an earlier time please. please",Change Flight
"Hello, I need to call it off my reservation for Delhi.",Cancel Trip
"GOOD EVENING, WHAT DOCUMENTS ARE REQUIRED FOR PET TRAVEL?",Pet Travel
How can I apply a coupon to my booking?,Discounts
Can I take my guitar on board?,Sports Music Gear
Who handles baggage damage claims? kindly,Damaged Bag
"Hi, How can I move my booked fltripo Singapore? thanks",Change Flight
Can you cancel my ticket and refund me?,Cancel Trip
How do I buy insurance for my ticket?,Insurance
Can I bring a violin as carry-on? kindly,Sports Music Gear
I received a damaged baggage at JFK.,Damaged Bag
Is there a discount for early bookings?,Discounts
Can I bring a violin as calry-on? thanks,Sports Music Gear
"Hello, how do i buy insurance for my ticket? please",Insurance
"Hello, What seats are available in business class?",Seat Availability
Are there seats available on flight UA685? thanks,Seat Availability
Where is my suitcase? It didn't come out on carousel.,Missing Bag
"Good morning, Can you help me reschedule ticket EK903?",Change Flight
Are there seats available on flight ai183? thank you,Seat Availability
Can I reserve a seat on the flight? thanks,Seat Availability
Check price for flight UA309.,Fare Check
Can I take my guitar on board?,Sports Music Gear
CAN I BRING A VAPE ON BOARD?,Prohibited Items Faq
Has flight lh892 landed?,Flight Status
What can I bring in my carry-on?,Carry On Luggage Faq
"Good morning, What does the travel insurance cover?",Insurance
What seats are available in business class?,Seat Availability
Can i carry a backpack and a laptop?,Carry On Luggage Faq
How do I buy insurance for my ticket?,Insurance
"Good evening, Where is my suitcase? It didn't come out on carousel.",Missing Bag
What can I bring in my carry-on? thank you,Carry On Luggage Faq
What seats are available in business class? thank you,Seat Availability
File a missing baggage report for flight UA943.,Missing Bag
Can I take my guitar on board?,Sports Music Gear
Is there a penalty if I cancel my booking?,Cancellation Policy
I want to move my booking to another day.,Change Flight
How do i report a lost baggage? thank you,Missing Bag
What is your cancellation policy?,Cancellation Policy
"Hello, Is there a discount for early bookings? thank you",Discounts
"Hello, My luggage arrived damaged. What do I do?",Damaged Bag
Can i take my guitar on board? please,Sports Music Gear
What's the status of flight BA303?,Flight Status
Is there a fee for traveling with a pet? thanks,Pet Travel
"Hi, How do I buy insurance for my ticket?",Insurance
What is your cancellation policy?,Cancellation Policy
"Hi, Can you cancel my ticket and refund me? thank you",Cancel Trip
"Hello, Can I carry a backpack and a laptop? please",Carry On Luggage Faq
How do I claim for a damaged bag?,Damaged Bag
"Hi, Can I take my guitar on board?",Sports Music Gear
Rescheduletripight to an earlier time please.,Change Flight
Are Wi-Fi services available on board?,Flights Info
"Hello, Are there seats available on flight UA722? thanks",Seat Availability
IS A LIGHTER PERMITTED IN CHECKED BAGGAGEGAGE?,Prohibited Items Faq
"Good morning, Can you cancel my ticket and refund me?",Cancel Trip
What items are prohibited on trips? please,Prohibited Items Faq
"Hello, I need to call off my reservation for Mumbai.",Cancel Trip
"Hi, Do you have promo codes for flights?",Discounts
Are Wi-Fi services available on board?,Flights Info
IS OVERWEIGHT BAGGAGE CHARGED AND OHW MUCH?,Check In Luggage Faq
"Hello, I want to report bad service on trip BA686.",Complaints
Do pets travel in cargo or cabin?,Pet Travel
IS MY FIGHT ON TIME? THANKS,Flight Status
Are Wi-Fi services available on board?,Flights Info
"Hello, Where is my suitcase? It didn't come out on carousel.",Missing Bag
"Hi, My bga did not arrive at JFK.",Missing Bag
Can I reserve a seat on the flight?,Seat Availability
Is overweight baggage charged and how much?,Check In Luggage Faq
How long is the layover in Los Angeles? thanks,Flights Info
HOW MANY KILOGRAMS CAN I CHECK IN?,Check In Luggage Faq
I received a damaged bag at SFO.,Damaged Bag
What is the carry-on baggage allowance?,Carry On Luggage Faq
Do pets travel in cargo or cabin?,Pet Travel
Can I travel with medical oxygen?,Medical Policy
How long is the layover in Mumbai? kindly,Flights Info
How do I check seat availability?,Seat Availability
Is my flight on time?,Flight Status
CAN I CARRY A POWER BANK IN MY BAG?,Prohibited Items Faq
Lowest fare from London to Mumbai.,Fare Check
How do I buy insurance for y ticket?,Insurance
"Good morning, Is a guitar allowed as carry-on?",Carry On Luggage Faq
What is the carry-on baggagegage allowance?,Carry On Luggage Faq
Where is my suitcase? It didn't come out on carousel.,Missing Bag
"Good morning, who can i contact to file a complaint?",Complaints
Can I bring my dog on the flight? please,Pet Travel
What seats are available in business class?,Seat Availability
"Hello, are wi-fi services available on board?",Flights Info
"Hi, What documents are required for medical travel?",Medical Policy
"GOOD MORNING, I WANT TO MAKE A COMPLAINT ABOUT MY LAST FLIGHT.",Complaints
Dm you have promo codes for flights?,Discounts
I want to report bad service on booking EK217.,Complaints
"Good evening, Change my flight to an earlier time please. thanks",Change Flight
What can I bring in my carry-on?,Carry On Luggage Faq
How do i check seat availabiilty? thanks,Seat Availability
"Hi, Tell me about meals o this flight.",Flights Info
"Hi, How many carry-on bags are allowed? please",Carry On Luggage Faq
"Hello, What is the medical policy for passengers with special needs?",Medical Policy
"Hey, Can I bring a violin as carry-on?",Sports Music Gear
I want to move my booking to another day.,Change Flight
"Good morning, Tell me about meals on this flight.",Flights Info
What is the checked luggagegage allowance for economy?,Check In Luggage Faq
How many kilograms can I check in?,Check In Luggage Faq
Can I carry a power bank in my luggage?,Prohibited Items Faq
I received a damaged baggage at HND.,Damaged Bag
IS A GUITAR ALLOWED AS CARRY-ON?,Carry On Luggage Faq
Change my flight to an earlier time please.,Change Flight
Can you help me reschedule flight BA996?,Change Flight
Any special fares or offers available now? please,Discounts
"Hey, My bag did not arrive at DEL.",Missing Bag
"Hello, Is overweight baggage charged and how much?",Check In Luggage Faq
I received a damaged baggage at HND.,Damaged Bag
Is there a fee for traveling with a pet?,Pet Travel
"Hi, Can I bring my dog on the booking?",Pet Travel
"Good evening, is my surfboard allowed on the flight? please",Sports Music Gear
Can I bring my dog on the flight?,Pet Travel
"Good morning, Can I reserve a seat on the flight?",Seat Availability
How many carry-on baggages allowedowed?,Carry On Luggage Faq
What are the baggage rules for international flights?,Flights Info
How do I claim for a damaged baggage? please,Damaged Bag
Is there a fee for traveling with a pet?,Pet Travel
Can I bring my dog on the booking?,Pet Travel
Are there rules for traveling while pregnant?,Medical Policy
"Good evening, Is my surfboard allowed on the flight?",Sports Music Gear
Change my flight to an earlier time please.,Change Flight
WHAT ARE THE BAGGAGE RULES FOR INTERNATIONAL FLIGHTS?,Flights Info
How do I cancel my trip scheduled on 2025-11-13? please,Cancel Trip
What documents are required for pet travel?,Pet Travel
"Hey, is a lighter allowed in checked baggage? kindly",Prohibited Items Faq
"Hey, What is your cancellation policy?",Cancellation Policy
"Hey, What are the baggagegage rules for international tickets? kindly",Flights Info
Can i carry a power bank in my baggage?,Prohibited Items Faq
What documents are required for pet travel?,Pet Travel
"Hello, Who handles baggage damage claims?",Damaged Bag
"Good evening, Is my surfboard allowed on the flight? thank you",Sports Music Gear
How do I report a lost bag? thank you,Missing Bag
What's teh current price for a one-way ticket to Dubai?,Fare Check
How many kilograms can I check in?,Check In Luggage Faq
What items are prohibited on bookings?,Prohibited Items Faq
How can I apply a coupon to my booking?,Discounts
What is the fare for a flight from San Francisco to Singapore on 2025-10-28? please,Fare Check
File a missing baggage report for flight ua726.,Missing Bag
How does the cancellation fee work?,Cancellation Policy
"Good morning, Do you offer travel insurance?",Insurance
Can you help me reschedule trip AI486?,Change Flight
How do I check seat availability?,Seat Availability
"Hello, What is the boarding time before departure? please",Flights Info
How do I buy insuracne for my ticket? thanks,Insurance
How do I claim for a damaged bag? thank you,Damaged Bag
WHERE IS YM SUITCASE? IT DIDN'T COME OUT ON CAROUSEL.,Missing Bag
Is medical insurance included with the booking?,Insurance
Is there a window seat left for my booking?,Seat Availability
Can you help me reschedule flight SQ777? thanks,Change Flight
Where is my suitcase? it didn't come out on carousel.,Missing Bag
Do pets travel in cargo or cabin?,Pet Travel
What's the cost of travel insurance?,Insurance
I NM UNHAPPY WITH THE CUSTOMER SERVICE I RECEIVED. PLEASE,Complaints
How long is the layover in paris? thank you,Flights Info
WHO HANDLES BAGGAGE DAMAGE CLAIMS?,Damaged Bag
"Hello, Are there seats available on flight AI232?",Seat Availability
"Good evening, Is medical insurance included with the booking?",Insurance
I WANT TO REPORT BAD SERVICE ON FLIGHT DL561.,Complaints
What are the check-in baggagegage rules? thank you,Check In Luggage Faq
"Hello, can i travel with medical oxygen?",Medical Policy
"GOOD EVENING, WHAT ARE THE BAGGAGE RULES FOR INTERNATIONAL FLIGHTS?",Flights Info
What is the boarding time before departure?,Flights Info
Can i check two bags?,Check In Luggage Faq
"Hi, who handles baggage damage claims?",Damaged Bag
How do I claim for a damaged bag?,Damaged Bag
Modify my booking to an earlier time please. thanks,Change Flight
"Good morning, Is there ayn extra charge for sports gear?",Sports Music Gear
"Good morning, Is a lighter allowed in checked baggage?",Prohibited Items Faq
"Hello, Are there any discounts for students?",Discounts
I had a terrible experience and watn to complain.,Complaints
"Hello, What's the current price for a one-way ticket to London?",Fare Check
"Hey, are wi-fi services available on board?",Flights Info
CAN I TAKE MY GUITAR ON BOARD?,Sports Music Gear
"Hello, where is m suitcase? it didn't come out on carousel.",Missing Bag
Who can i contact to file a complaint?,Complaints
Check bookingtimings for SQ306.,Flight Status
"Good morning, Are Wi-Fi services available on board? kindly",Flights Info
Can I take my guitar on board?,Sports Music Gear
Can I bring a vape on board? thank you,Prohibited Items Faq
"GOOD MORNING, WHAT ARE THE LUGGAGEGAGE RULES FOR INTERNATIONAL TRIPS?",Flights Info
HOW DO I CHECK SEAT AVAILABILITY?,Seat Availability
"Good morning, what's the timing of flight sq122?",Flight Status
"Hello, How do I buy insurance for my ticket?",Insurance
When is flight UA859 departing?,Flight Status
Where is my suitcase? it didn't come out on carousel.,Missing Bag
"Hey, How does the cancellation fee work? kindly",Cancellation Policy
How many kilograms can I check in?,Check In Luggage Faq
How do I buy insurance for my ticket? kindly,Insurance
How do I check seat availability? please,Seat Availability
What can I bring in my carry-on?,Carry On Luggage Faq
How much is the ticket to Singapore next week? kindly,Fare Check
I need to call off my reservation for Dubai.,Cancel Trip
Is my flight on time?,Flight Status
What is the carry-on baggage allowance?,Carry On Luggage Faq
"GOOD EVENING, TELL ME ABOUT MEALS ON THIS FLIGHT.",Flights Info
Can I reserve a seat on the flight?,Seat Availability
"Hello, Can I reserve a seat on the booking? kindly",Seat Availability
Is there a window seat left for my booking?,Seat Availability
What's the current price for a one-way ticket to Singapore?,Fare Check
What is the medical policy for passengers with special needs?,Medical Policy
"Hey, Can I bring my dog on the trip?",Pet Travel
Tell me abotu the call offlation rules for tickets.,Cancellation Policy
"Good evening, What's the state of flight AI212? please",Flight Status
What are the check-in baggage rules? thanks,Check In Luggage Faq
Can I travel with medical oxygen?,Medical Policy
"Good morning, Do pets travel in cargo or cabin?",Pet Travel
Is my ticket on time? thank you,Flight Status
"GOOD EVENING, IS MEDICAL INSURANCE INCLUDED WITH THE BOOKING? THANKS",Insurance
Any special fares or offers available now?,Discounts
Do pets travel in cargo or cabin?,Pet Travel
IS MY TICKET ON TIME?,Flight Status
Can I brig my dog on the flight? kindly,Pet Travel
Can I reserve a seat on the flight? thank you,Seat Availability
How can I change my booked flight to Mumbai?,Change Flight
MY LUGGAGE ARRIVED DAMAGED. WHAT DO I DO?,Damaged Bag
How do I report a lost luggage?,Missing Bag
What is the pet travel policy?,Pet Travel
"Good evening, Who handles baggage damage claims?",Damaged Bag
Is assistance available for disabled passengers?,Medical Policy
Is there a window seat left for my booking? please,Seat Availability
I need to rescheduleflightight date to 2025-11-21.,Change Flight
Can you cancel my ticket and refund me?,Cancel Trip
Can I travel with medical oxygen? thank you,Medical Policy
"Good morning, Tell me about meals on this flight.",Flights Info
"Good morning, What seats are available in business class?",Seat Availability
CAN I BRING A VAPE ON BOARD? THANKS,Prohibited Items Faq
"HI, HOW LONG IS THE LAYOVER IN LONDON? KINDLY",Flights Info
Can I travel with medical oxygen?,Medical Policy
When is booking SQ772 departing? thank you,Flight Status
Is assistance available for disabled passengers?,Medical Policy
Can I bring a violin as carry-on?,Sports Music Gear
"Good evening, Is medical insurance included with the booking?",Insurance
Do i get a refund if i call off within 24 hours?,Cancellation Policy
Where is my suitcase? It didn't come out on carousel.,Missing Bag
What documents are required for medical travel? thank you,Medical Policy
Is my flight on time?,Flight Status
"HI, I RECEIVED A DAMAGED BAG AT BOM.",Damaged Bag
What is the fare for a flight from tokyo to paris on 2025-12-09?,Fare Check
I want to call off mticketht to Dubai.,Cancel Trip
How do i cancel my trip scheduled on 2025-10-26?,Cancel Trip
Are sharp objects okay to bring in checked luggage?,Prohibited Items Faq
"Good evening, Are there rules for traveling while pregnant?",Medical Policy
"Hello, Wherf is my suitcase? It didn't come out on carousel.",Missing Bag
Move my flflighto an earlier time please. thank you,Change Flight
"Good evening, What is the carry-on baggage allowane?",Carry On Luggage Faq
I need to cancel my reservation for Singapore.,Cancel Trip
How do I check seat availability? kindly,Seat Availability
I need to modify my flight date to 2025-11-20.,Change Flight
Lowest fare from London to Paris.,Fare Check
Are there rules for traveling while pregnant?,Medical Policy
How do i claim for a damaged bag?,Damaged Bag
"Hello, What is the checked baggage allowance for economy?",Check In Luggage Faq
I received a damaged bag at LAX.,Damaged Bag
How do I buy insurance for my ticket?,Insurance
"Hello, My luggage arrived damaged. What do I do?",Damaged Bag
Check bookingstatuss for AI459.,Flight Status
"Hi, Lowest fare from Delhi to London. please",Fare Check
What can i bring in my carry-on? please,Carry On Luggage Faq
Is there a penalty if I cancel my booking?,Cancellation Policy
Are there any discounts for students?,Discounts
"HEY, WHAT ARE THE BAGGAGE RULES FOR INTERNATIONAL FLIGHTS?",Flights Info
Is a guitar allowed as carry-on?,Carry On Luggage Faq
Is my surfboard allowed on the trip?,Sports Music Gear
What is the fare for a flight from San Francisco to Los Angeles on 2025-11-27?,Fare Check
"Hello, I can't find my checked-in luggage.",Missing Bag
Can i take my guitar on board?,Sports Music Gear
What is your cancellation policy?,Cancellation Policy
My luggage did not arrive at DXB.,Missing Bag
I need to terminate my reservation for paris.,Cancel Trip
Is a guitar allowed as carry-on? thanks,Carry On Luggage Faq
"Hi, i want to cancel my flight to singapore.",Cancel Trip
Check price for flight EK306. thank you,Fare Check
There is a tear in my suitcase after the flight. thank you,Damaged Bag
How can I move my booked flflighto New York?,Change Flight
"Good evening, Can I travel with medical oxygen?",Medical Policy
How can I change my booked flight to Singapore?,Change Flight
Is a lighter okay to bring in checked baggage?,Prohibited Items Faq
My bag did not arrive at HND.,Missing Bag
"Hello, How do I cancel my trip scheduled on 2025-10-29?",Cancel Trip
Do pets travel in cargo or cabin?,Pet Travel
I WANT TO REPORT BAD SERVICE ON FLIGHT AI681. THANK YOU,Complaints
What documents are required for medical travel? please,Medical Policy
What does the travel insurance cover?,Insurance
Can i travel with medical oxygen?,Medical Policy
Is overweight luggagegage charged and how much? kindly,Check In Luggage Faq
What does the travel insurance cover? kindly,Insurance
"Good morning, What are the check-in baggage rules? please",Check In Luggage Faq
Can I travel with medical oxygen? kindly,Medical Policy
How can I apply a coupon to my booking? please,Discounts
Do you have promo codes for flights?,Discounts
Can I check two luggages?,Check In Luggage Faq
My luggage did not arrive at DXB. thanks,Missing Bag
"Hi, What documents are required for pet travel? thanks",Pet Travel
What are the checking in baggagegage rules?,Check In Luggage Faq
"Hello, Can I reserve a seat on the flight?",Seat Availability
How can I change my booked flight to London?,Change Flight
What can I bring in my carry-on?,Carry On Luggage Faq
Are there rules for traveling while pregnant?,Medical Policy
"Good morning, How do I claim for a damaged baggage?",Damaged Bag
"Hi, How do I buy insurance for my ticket?",Insurance
What's the status of ticket SQ525?,Flight Status
Can I take my guitar on board?,Sports Music Gear
Can I bring a violin as carry-on? please,Sports Music Gear
How can I modify my booked booking to London? please,Change Flight
I need to cancel my reservation for New York. please,Cancel Trip
Can I travel with medical oxygen?,Medical Policy
Check prie for flight lh279.,Fare Check
Is my surfboard alolwed on the flight?,Sports Music Gear
How koes the cancellation fee work? kindly,Cancellation Policy
What documents are required for pet travel? kindly,Pet Travel
"Good evening, Has trip SQ676 landed?",Flight Status
What is the medical policy for passengers with special needs?,Medical Policy
Can I check two baggages?,Check In Luggage Faq
HOW DO I CANCEL MY TRIP SCHEDULED ON 2025-12-12?,Cancel Trip
I want to report bad service on flight SQ406. kindly,Complaints
What is the boarding time before departure?,Flights Info
"Hello, There is a tear in my suitcase after the flight.",Damaged Bag
Is a guitar allowed as carry-on?,Carry On Luggage Faq
Can i bring my dog on the trip?,Pet Travel
Can you call it off my ticket and refund me?,Cancel Trip
What is the boarding time before departure?,Flights Info
How do I report a lost bag? thank you,Missing Bag
Has flight BA171 landed?,Flight Status
What's the policy for carrying sports equipment?,Sports Music Gear
What's the cost of travel insurance?,Insurance
"Good morning, What items are prohibited on flights?",Prohibited Items Faq
"Hey, i want to move my booking to another day.",Change Flight
"Hey, Is there a window seat left for my booking? thank you",Seat Availability
Do you offer travel insurance?,Insurance
CHECK PRICE FOR FLIGHT LH494.,Fare Check
Do you have promo codes for flights? thanks,Discounts
"Hi, What documents are required for pet travel?",Pet Travel
What documents are required for medical travel?,Medical Policy
"Good evening, Is overweight baggage charged anw how much?",Check In Luggage Faq
"Hey, How do I call off my trip scheduled on 2025-11-24? kindly",Cancel Trip
Any special fares or offers available now? thanks,Discounts
"Good evening, What are the checking in luggagegage rules?",Check In Luggage Faq
"Hi, What items are prohibited on trips?",Prohibited Items Faq
How do I claim for a damaged bag? thanks,Damaged Bag
"Good evening, File a missing baggagegage report for trip AI490. kindly",Missing Bag
I am unhappy with the customer service i received.,Complaints
Is assistance available for disabled passengers?,Medical Policy
What ca I bring in my carry-on?,Carry On Luggage Faq
"Hi, what is the pet travel policy?",Pet Travel
HOW DOES THE CALL OFFLATIOCHARGEEE WORK? KINDLY,Cancellation Policy
I am unhappy with the customer service I received. please,Complaints
"Good evening, any special fares or offers available now?",Discounts
"Good evening, Is a guitar allowed as carry-on? thank you",Carry On Luggage Faq
Is my surfboard allowed on the flight?,Sports Music Gear
"Good evening, Can I bring my dog on the ticket?",Pet Travel
